"id","parent_id:id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"bms_account_10000000","","10000000","AKTIVA","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11000000","bms_account_10000000","11000000","AKTIVA LANCAR","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11299999","bms_account_11000000","11299999","TOTAL KAS & BANK","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11199999","bms_account_11299999","11199999","TOTAL KAS","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11100100","bms_account_11199999","11100100","Kas & Bank","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11100101","bms_account_11199999","11100101","Kas Jakarta","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11100102","bms_account_11199999","11100102","Kas Pabrik PKS","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11289999","bms_account_11299999","11289999","TOTAL BANK","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11200101","bms_account_11289999","11200101","Bank BCA Jakarta","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11200102","bms_account_11289999","11200102","Bank BNI Jakarta","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11200103","bms_account_11289999","11200103","Bank BNI Jakarta Tabungan","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11200201","bms_account_11289999","11200201","Bank BII 034 Jakarta","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11200202","bms_account_11289999","11200202","Jurnal Ayat Silang ( Kas - Bank)","account.data_account_type_liquidity","1","l10n_id_bms"
"bms_account_11200203","bms_account_11289999","11200203","Deposito Bank BNI","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11200204","bms_account_11289999","11200204","Bank BNI Pabrik - PKS","account.data_account_type_liquidity","0","l10n_id_bms"
"bms_account_11200205","bms_account_11289999","11200205","Jurnal Ayat Silang ( Uang Muka Karyawan )","account.data_account_type_liquidity","1","l10n_id_bms"
"bms_account_11310999","bms_account_11000000","11310999","TOTAL PIUTANG USAHA","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11310001","bms_account_11310999","11310001","PIUTANG USAHA","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11400299","bms_account_11000000","11400299","Total Piutang Lainnya","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11400001","bms_account_11400299","11400001","Piutang lainnya","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400002","bms_account_11400299","11400002","Piutang BPJS karyawan Pusat","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400003","bms_account_11400299","11400003","Piutang BPJS karyawan Pabrik","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400004","bms_account_11400299","11400004","KEVIN LIANDI","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400005","bms_account_11400299","11400005","JONATHAN/ANDRIANTA JUWONO","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11401999","bms_account_11310999","11401999","PIUTANG KARYAWAN","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11400301","bms_account_11401999","11400301","Piutang Karyawan Budi","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400501","bms_account_11401999","11400501","Piutang Karyawan Delvi","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400601","bms_account_11401999","11400601","Piutang Karyawan Yakobus","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400701","bms_account_11401999","11400701","Piutang Karyawan Simangunsong","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400702","bms_account_11401999","11400702","Piutang karyawan Takhuri","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11400703","bms_account_11401999","11400703","Piutang Direksi (Bp. Freddie dan Bp. Toni)","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11499999","bms_account_11401999","11499999","Piutang Lain-Lain","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11509999","","11509999","PERSEDIAAN BARANG","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11500001","bms_account_11509999","11500001","Persediaan Cangkang","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11500002","bms_account_11509999","11500002","Persediaan Bahan Pembantu & Suku Cadang","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11500003","bms_account_11509999","11500003","Persediaan CPO","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11500004","bms_account_11509999","11500004","Persediaan Kernel","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11500005","bms_account_11509999","11500005","Persediaan TBS","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11500006","bms_account_11509999","11500006","Pekerjaan dalam Proses PTPN","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11529999","","11529999","Total Ppn Masukan & PPh","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11510001","bms_account_11529999","11510001","Persediaan Materai","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11510009","bms_account_11509999","11510009","Delivery On Progress","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11520001","bms_account_11529999","11520001","Ppn Masukan","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11520002","bms_account_11529999","11520002","PPh 25 badan","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11520003","bms_account_11529999","11520003","PPh pasal 22","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11520004","bms_account_11529999","11520004","PPh pasal 23","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11520005","bms_account_11529999","11520005","PPh pasal 26","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11520006","bms_account_11529999","11520006","PPn yang ditangguhkan","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600099","","11600099","PIUTANG LAIN-LAIN","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11600999","","11600999","Total Uang Muka","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11600001","bms_account_11600999","11600001","Uang Muka Pembelian","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11600002","bms_account_11600999","11600002","Uang Muka Base Camp","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11600003","bms_account_11600999","11600003","Uang Muka Biaya Asuransi","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11600004","bms_account_11600999","11600004","Biaya dibayar dimuka - Sewa gedung","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600005","bms_account_11600999","11600005","Uang Muka Perjalanan Dinas","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11600006","bms_account_11600999","11600006","Biaya Dibayar Di Muka - Sewa Tanah","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600007","bms_account_11600999","11600007","Uang Muka Lain-Lain","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11600008","bms_account_11600999","11600008","Pajak Dibayar Dimuka","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600009","bms_account_11600999","11600009","Biaya Dibayar Di Muka - Asuransi Pabrik","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600010","bms_account_11600999","11600010","Biaya Dibayar Dimuka Komisi TBS","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600011","bms_account_11600999","11600011","Pajak Dibayar Dimuka PPh pasal 22","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600012","bms_account_11600999","11600012","Pajak Dibayar Dimuka PPh pasal 23","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600013","bms_account_11600999","11600013","Pajak Dibayar Dimuka PPh badan","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600014","bms_account_11600999","11600014","Biaya Dibayar Dimuka - Denda Pajak","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600015","bms_account_11600999","11600015","Biaya Dibayar Dimuka - Asuransi Kendaraan SGU","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600016","bms_account_11600999","11600016","Biaya Dibayar Dimuka - Bunga Kendaraan SGU","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600017","bms_account_11600999","11600017","Beban Lain Lain","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_11600018","bms_account_11600999","11600018","Uang Muka Operasional","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11600020","bms_account_11600999","11600020","Uang Muka Karyawan","account.data_account_type_receivable","1","l10n_id_bms"
"bms_account_11610099","","11610099","Total Uang Muka","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_11999999","","11999999","AKTIVA LANCAR","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_13000000","","13000000","INVESTASI JANGKA PANJANG","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_13999999","","13999999","INVESTASI","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_13100001","bms_account_13999999","13100001","Investasi Saham Jakarta","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_13100099","bms_account_13999999","13100099","Investasi Saham","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_13200001","bms_account_13999999","13200001","Investasi Obligasi Jakarta","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_13200099","bms_account_13999999","13200099","Investasi Obligasi","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_13300001","bms_account_13999999","13300001","Investasi Lain-Lain Jakarta","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_13300099","bms_account_13999999","13300099","Investasi Lain-Lain","account.data_account_type_current_assets","0","l10n_id_bms"
"bms_account_15000000","","15000000","AKTIVA TETAP","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_15529999","","15529999","TOTAL ASET","account_parent.data_account_type_view","0","l10n_id_bms"
"bms_account_15110001","bms_account_15529999","15110001","Tanah","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15110101","bms_account_15529999","15110101","SGU Kendaraan","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15120001","bms_account_15529999","15120001","Gedung","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130001","bms_account_15529999","15130001","Inventaris Kantor","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130002","bms_account_15529999","15130002","Perlengkapan Pabrik","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130003","bms_account_15529999","15130003","Mesin & peralatan kerja","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130004","bms_account_15529999","15130004","Bangunan Pabrik/Mes","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130005","bms_account_15529999","15130005","Perlengkapan Mes","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130006","bms_account_15529999","15130006","Inventaris pabrik","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130007","bms_account_15529999","15130007","Inventaris Mess","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15130008","bms_account_15529999","15130008","Inventaris Kompos","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15150001","bms_account_15529999","15150001","Kendaraan","account.data_account_type_fixed_assets","0","l10n_id_bms"
"bms_account_15520002","bms_account_15529999","15520002","Asset Clearing","account.data_account_type_fixed_assets","0","l10n_id_bms"
